LICENSEE,DBA,LICENSE,ADDRESS,CITY,ZIP ,AddLong,y,x,url
GREEN GRASS LLC,GREEN GRASS CENTRAL CITY,402R-00066,440 Lawrence Street,Central City,80427,440 Lawrence Street Central City CO 80427,39.801315,-105.503906,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=440%20Lawrence%20Street%20Central%20City%20CO%2080427
GREEN HEART LTD,,402R-00364,19005 East Quincy Avenue,Aurora,80015,19005 East Quincy Avenue Aurora CO 80015,39.638575,-104.766695,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=19005%20East%20Quincy%20Avenue%20Aurora%20CO%2080015
GREEN KIWI 1 LLC,LIVWELL,402R-00454,3955 Oneida Street,Denver,80207,3955 Oneida Street Denver CO 80207,39.771961,-104.907706,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3955%20Oneida%20Street%20Denver%20CO%2080207
GREEN KIWI 2 LLC,LIVWELL,402R-00111,"3980 Franklin Street, Unit 101",Denver,80203,"3980 Franklin Street, Unit 101 Denver CO 80203",39.772601,-104.96839,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3980%20Franklin%20Street,%20Unit%20101%20Denver%20CO%2080203"
GREEN KIWI 2 LLC,LIVWELL,402R-00112,1660 North Pearl Street,Denver,80203,1660 North Pearl Street Denver CO 80203,39.742804,-104.979892,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1660%20North%20Pearl%20Street%20Denver%20CO%2080203
GREEN KIWI 4 LLC,LIVWELL,402R-00355,1819 East Main Street,Cortez,81321,1819 East Main Street Cortez CO 81321,37.348923,-108.562753,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1819%20East%20Main%20Street%20Cortez%20CO%2081321
GREEN KIWI 5 LLC,LIVWELL,402R-00356,449 Railroad Avenue,Mancos,81328,449 Railroad Avenue Mancos CO 81328,37.34724,-108.293355,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=449%20Railroad%20Avenue%20Mancos%20CO%2081328
GREEN LIFE SOLUTIONS LLC,GREEN TREE MEDICINALS,402R-00337,"10575 Melody Drive, Suite 101",Northglenn,80234,"10575 Melody Drive, Suite 101 Northglenn CO 80234",39.88763,-104.993237,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=10575%20Melody%20Drive,%20Suite%20101%20Northglenn%20CO%2080234"
GREEN MEADOWS WELLNESS LLC,INFINITE WELLNESS CENTER,402R-00235,900 North College Avenue,Fort Collins,80524,900 North College Avenue Fort Collins CO 80524,40.598906,-105.076623,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=900%20North%20College%20Avenue%20Fort%20Collins%20CO%2080524
GREEN MEDICALS WELLNESS CENTER #5 LLC,SMOKEY'S,402R-00554,"5740 South College Avenue, Unit C",Fort Collins,80525,"5740 South College Avenue, Unit C Fort Collins CO 80525",40.506845,-105.077144,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5740%20South%20College%20Avenue,%20Unit%20C%20Fort%20Collins%20CO%2080525"
GREEN MEDICINE LLC,THE GREEN JOINT,402R-00212,1030 Grand Avenue,Glenwood Springs,81601,1030 Grand Avenue Glenwood Springs CO 81601,39.542976,-107.324825,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1030%20Grand%20Avenue%20Glenwood%20Springs%20CO%2081601
GREEN NATURAL SOLUTIONS INC,,402R-00674,716 Grand Avenue,Glenwood Springs,81601,716 Grand Avenue Glenwood Springs CO 81601,39.547219,-107.3247,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=716%20Grand%20Avenue%20Glenwood%20Springs%20CO%2081601
GREEN SATIVA LLC,,402R-00697,"8411 Pecos Street, Unit H,",Federal Heights,80260,"8411 Pecos Street, Unit H, Federal Heights CO 80260",39.850063,-105.006027,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=8411%20Pecos%20Street,%20Unit%20H,%20Federal%20Heights%20CO%2080260"
GREEN STREET DISPENSARY LLC,THE GREENERY,402R-00422,208 Parker Avenue Suite E,Durango,81303,208 Parker Avenue Suite E Durango CO 81303,37.235519,-107.871883,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=208%20Parker%20Avenue%20Suite%20E%20Durango%20CO%2081303
GREEN WORLD EXPRESS INC,,402R-00547,5320 US Highway 285,Antonito,81120,5320 US Highway 285 Antonito CO 81120,37.069082,-106.014668,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5320%20US%20Highway%20285%20Antonito%20CO%2081120
GREENER PASTURE COMPASSION CENTER LLC,VERDE NATURAL,402R-00676,5101 East Colfax,Denver,80220,5101 East Colfax Denver CO 80220,39.740184,-104.928337,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5101%20East%20Colfax%20Denver%20CO%2080220
GREENWERKZ LLC,GREEN DRAGON COLORADO,402R-00094,5840 West 25th Avenue,Edgewater,80214,5840 West 25th Avenue Edgewater CO 80214,39.753016,-105.061046,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5840%20West%2025th%20Avenue%20Edgewater%20CO%2080214
GREENWERKZ LLC,GREEN DRAGON COLORADO,402R-00174,2922 South Glen Avenue,Glenwood Springs,81601,2922 South Glen Avenue Glenwood Springs CO 81601,39.521626,-107.32133,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2922%20South%20Glen%20Avenue%20Glenwood%20Springs%20CO%2081601
GREENWERKZ LLC,GREEN DRAGON COLORADO,402R-00377,19151 East Quincy Avenue,Aurora,80013,19151 East Quincy Avenue Aurora CO 80013,39.638584,-104.764839,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=19151%20East%20Quincy%20Avenue%20Aurora%20CO%2080013
GT VENTURES I LLC,PANDO,402R-00005,"777 Canosa Court, Unit 102",Denver,80204,"777 Canosa Court, Unit 102 Denver CO 80204",39.729011,-105.019866,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=777%20Canosa%20Court,%20Unit%20102%20Denver%20CO%2080204"
GUNNISON CANNABIS LLC,ROCKY MOUNTAIN CANNABIS,402R-00509,901 West New York Avenue,Gunnison,81230,901 West New York Avenue Gunnison CO 81230,38.543238,-106.93778,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=901%20West%20New%20York%20Avenue%20Gunnison%20CO%2081230
