LICENSEE,DBA,LICENSE,ADDRESS,CITY,ZIP ,AddLong,y,x,url
J&R PARTNERS LLC,NATIVE ROOTS VAIL,402R-00221,"041290 Highway 6, Unit #B5",Avon,81620,"041290 Highway 6, Unit #B5 Avon CO 81620",-35.1213,173.27007,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=041290%20Highway%206,%20Unit%20#B5%20Avon%20CO%2081620"
JEM DUTCH ACRES LLC,EARLS,402R-00108,115 Harrison Avenue,Leadville,80461,115 Harrison Avenue Leadville CO 80461,39.24512,-106.290554,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=115%20Harrison%20Avenue%20Leadville%20CO%2080461
JGB VENTURES LLC,DANK,402R-00004,"3835 Elm Street, Unit C",Denver,80207,"3835 Elm Street, Unit C Denver CO 80207",39.769881,-104.929339,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3835%20Elm%20Street,%20Unit%20C%20Denver%20CO%2080207"
JOE CAL ENTERPRISES INC,PAGOSA CRAFT,402R-00667,127 Goldmine,Pagosa Springs,81147,127 Goldmine Pagosa Springs CO 81147,37.269436,-107.031371,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=127%20Goldmine%20Pagosa%20Springs%20CO%2081147
JOIS LLC,SILVER STEM FINE CANNABIS,402R-00135,"3700 West Quincy Avenue, Suite 3702",Denver,80236,"3700 West Quincy Avenue, Suite 3702 Denver CO 80236",39.638549,-105.035647,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3700%20West%20Quincy%20Avenue,%20Suite%203702%20Denver%20CO%2080236"
JS INVESTMENTS AURORA LLC,EUFLORA,402R-00304,6260 South Gun Club Road,Aurora,80016,6260 South Gun Club Road Aurora CO 80016,39.602531,-104.716769,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=6260%20South%20Gun%20Club%20Road%20Aurora%20CO%2080016
JS INVESTMENTS AURORA LLC,EUFLORA,402R-00305,"4343 South Buckley Road, Unit E",Aurora,80015,"4343 South Buckley Road, Unit E Aurora CO 80015",39.637372,-104.791576,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4343%20South%20Buckley%20Road,%20Unit%20E%20Aurora%20CO%2080015"
JS INVESTMENTS LLC,EUFLORA,402R-00056,"403 16th Street, Suite 1",Denver,80202,"403 16th Street, Suite 1 Denver CO 80202",39.74339,-104.989783,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=403%2016th%20Street,%20Suite%201%20Denver%20CO%2080202"
JTR CAREGIVERS LLC,HELPING HANDS HERBALS,402R-00236,1021 Pearl Street Suite C,Boulder,80302,1021 Pearl Street Suite C Boulder CO 80302,40.01748,-105.281997,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1021%20Pearl%20Street%20Suite%20C%20Boulder%20CO%2080302
JVJC HOLDINGS II LLC,,402R-00408,105 East 7th Avenue,Denver,80203,105 East 7th Avenue Denver CO 80203,39.727263,-104.987118,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=105%20East%207th%20Avenue%20Denver%20CO%2080203
JVJC HOLDINGS III LLC,,402R-00191,5194 Washington Street,Denver,80216,5194 Washington Street Denver CO 80216,39.790864,-104.978281,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5194%20Washington%20Street%20Denver%20CO%2080216
JVT ENTERPRISES INC,COLORADO CANNABIS CONNECTION,402R-00590,4550 South Kipling Street #4,Denver,80127,4550 South Kipling Street #4 Denver CO 80127,39.633712,-105.109795,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4550%20South%20Kipling%20Street%20#4%20Denver%20CO%2080127
K.I.N.D. WELLNESS CENTER LLC,STASH,402R-00160,"710 East Durant Ave, Unit E-1",Aspen,81611,"710 East Durant Ave, Unit E-1 Aspen CO 81611",39.186707,-106.81648,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=710%20East%20Durant%20Ave,%20Unit%20E-1%20Aspen%20CO%2081611"
KARING KIND LLC,KARING KIND,402R-00176,5854 Rawhide Court,Boulder,80302,5854 Rawhide Court Boulder CO 80302,40.080591,-105.281299,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5854%20Rawhide%20Court%20Boulder%20CO%2080302
KAYAK CORP,AMSTERDAM CAFE,402R-00075,"1325 South Inca Street, Suite A",Denver,80223,"1325 South Inca Street, Suite A Denver CO 80223",39.692602,-104.998056,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1325%20South%20Inca%20Street,%20Suite%20A%20Denver%20CO%2080223"
KAZIMER LLC,BUD CELLAR,402R-00071,6666 East Stapleton South Drive,Denver,80216,6666 East Stapleton South Drive Denver CO 80216,39.778006,-104.911205,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=6666%20East%20Stapleton%20South%20Drive%20Denver%20CO%2080216
KENDALL MOUNTAIN LLC,SILVERTON GREEN WORKS,402R-00264,124 East 13th Street Unit A,Silverton,81433,124 East 13th Street Unit A Silverton CO 81433,38.729965,-108.06942,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=124%20East%2013th%20Street%20Unit%20A%20Silverton%20CO%2081433
KEW LLC,STARBUDS,402R-00691,9000 Federal Boulevard Unit B,Federal Heights,80260,9000 Federal Boulevard Unit B Federal Heights CO 80260,39.86014,-105.024996,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=9000%20Federal%20Boulevard%20Unit%20B%20Federal%20Heights%20CO%2080260
KIND CARE OF COLORADO LLC,KIND CARE OF COLORADO LLC,402R-00516,6617 South College Avenue,Fort Collins,80525,6617 South College Avenue Fort Collins CO 80525,40.494009,-105.07746,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=6617%20South%20College%20Avenue%20Fort%20Collins%20CO%2080525
KIND LOVE LLC,KIND LOVE,402R-00370,4380 East Alameda Avenue,Glendale,80246,4380 East Alameda Avenue Glendale CO 80246,39.711381,-104.938187,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4380%20East%20Alameda%20Avenue%20Glendale%20CO%2080246
KP LLC,BINSKE,402R-00565,108 South Mill Street Space A and Space B,Aspen,81611,108 South Mill Street Space A and Space B Aspen CO 81611,39.190247,-106.81934,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=108%20South%20Mill%20Street%20Space%20A%20and%20Space%20B%20Aspen%20CO%2081611
KTA LLC,THE LODGE,402R-00548,82 South Federal Boulevard,Denver,80219,82 South Federal Boulevard Denver CO 80219,39.714982,-105.025042,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=82%20South%20Federal%20Boulevard%20Denver%20CO%2080219
KTA LLC,THE LODGE,402R-00614,3944 High Street,Denver,80205,3944 High Street Denver CO 80205,39.772089,-104.964683,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3944%20High%20Street%20Denver%20CO%2080205
KUSH GARDENS LLC,KUSH GARDENS LLC,402R-00318,4550 Highway 6 and 24,De Beque,81630,4550 Highway 6 and 24 De Beque CO 81630,39.32696,-108.204563,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4550%20Highway%206%20and%2024%20De%20Beque%20CO%2081630
L3ASTOCKCOMPLEX LLC,EUFLORA,402R-00007,4305 Brighton Boulevard,Denver,80216,4305 Brighton Boulevard Denver CO 80216,39.777359,-104.969734,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4305%20Brighton%20Boulevard%20Denver%20CO%2080216
LA CASA CANNA BIS INC,,402R-00429,205 Main Street,San Luis,81152,205 Main Street San Luis CO 81152,37.19716,-105.42746,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=205%20Main%20Street%20San%20Luis%20CO%2081152
LA PATRONAS LLC,HERBZ,402R-00653,150 West 10th Street,Durango,81301,150 West 10th Street Durango CO 81301,37.274562,-107.880833,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=150%20West%2010th%20Street%20Durango%20CO%2081301
LARSEN GROUP II LLC,GS WAREHOUSE,402R-00488,206 Elm Drive,Log Lane Village,80705,206 Elm Drive Log Lane Village CO 80705,40.269331,-103.829709,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=206%20Elm%20Drive%20Log%20Lane%20Village%20CO%2080705
LARSEN GROUP LLC,THE GREEN STOP,402R-00252,"130 Maine Street, Unit B",Log Lane Village,80705,"130 Maine Street, Unit B Log Lane Village CO 80705",40.268284,-103.832051,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=130%20Maine%20Street,%20Unit%20B%20Log%20Lane%20Village%20CO%2080705"
LASER MANAGEMENT LLC,CANNASSEUR,402R-00689,1400 Van Buren Street,Trinidad,81082,1400 Van Buren Street Trinidad CO 81082,38.24217,-104.63306,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1400%20Van%20Buren%20Street%20Trinidad%20CO%2081082
LBW CONSULTING GROUP LLC,,402R-00677,5070 Oakland Street,Denver,80239,5070 Oakland Street Denver CO 80239,39.789784,-104.850658,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5070%20Oakland%20Street%20Denver%20CO%2080239
L'EAGLE SERVICES LLC,L'EAGLE,402R-00207,380 Quivas Street,Denver,80223,380 Quivas Street Denver CO 80223,39.722503,-105.007074,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=380%20Quivas%20Street%20Denver%20CO%2080223
LIGHTSHADE LABS LLC,LIGHTSHADE,402R-00073,3950 Holly Street,Denver,80207,3950 Holly Street Denver CO 80207,39.772226,-104.922318,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3950%20Holly%20Street%20Denver%20CO%2080207
LIGHTSHADE LABS LLC,LIGHTSHADE,402R-00106,330 South Dayton Street,Denver,80247,330 South Dayton Street Denver CO 80247,39.708346,-104.875382,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=330%20South%20Dayton%20Street%20Denver%20CO%2080247
LIGHTSHADE LABS LLC,LIGHTSHADE,402R-00293,503 Havana Street,Aurora,80010,503 Havana Street Aurora CO 80010,39.723331,-104.865924,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=503%20Havana%20Street%20Aurora%20CO%2080010
LIGHTSHADE LABS LLC,LIGHTSHADE,402R-00360,1126 South Sheridan Boulevard,Denver,80232,1126 South Sheridan Boulevard Denver CO 80232,39.696056,-105.053226,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1126%20South%20Sheridan%20Boulevard%20Denver%20CO%2080232
LIGHTSHADE LABS LLC,LIGHTSHADE,402R-00479,745 East 6th Avenue,Denver,80203,745 East 6th Avenue Denver CO 80203,39.725614,-104.977922,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=745%20East%206th%20Avenue%20Denver%20CO%2080203
LIGHTSHADE LABS LLC,LIGHTSHADE,402R-00579,16821 East Iliff Avenue,Aurora,80014,16821 East Iliff Avenue Aurora CO 80014,39.673732,-104.792292,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=16821%20East%20Iliff%20Avenue%20Aurora%20CO%2080014
LIGHTSHADE LABS LLC,LIGHTSHADE,402R-00727,1533 Main Street,Longmont,80501,1533 Main Street Longmont CO 80501,40.186042,-105.102333,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1533%20Main%20Street%20Longmont%20CO%2080501
LIVWELL I LLC,LIVWELL,402R-00194,"2647 8th Avenue, Unit B",Garden City,80631,"2647 8th Avenue, Unit B Garden City CO 80631",40.393838,-104.691132,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2647%208th%20Avenue,%20Unit%20B%20Garden%20City%20CO%2080631"
LIVWELL III LLC,LIVWELL,402R-00168,1941 West Evans Avenue,Denver,80223,1941 West Evans Avenue Denver CO 80223,39.678643,-105.010612,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1941%20West%20Evans%20Avenue%20Denver%20CO%2080223
LIVWELL VI LLC,LIVWELL,402R-00352,124 Santa Fe Trail,Trinidad,81082,124 Santa Fe Trail Trinidad CO 81082,37.16859,-104.50532,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=124%20Santa%20Fe%20Trail%20Trinidad%20CO%2081082
LM MJC LLC,CLUB CANNA,402R-00708,7521 Ute Highway,Longmont,80503,7521 Ute Highway Longmont CO 80503,40.2034,-105.177581,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=7521%20Ute%20Highway%20Longmont%20CO%2080503
LONGMONT P&P LLC,EUFLORA,402R-00720,230 South Main Street Suite B,Longmont,80501,230 South Main Street Suite B Longmont CO 80501,40.153414,-105.102551,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=230%20South%20Main%20Street%20Suite%20B%20Longmont%20CO%2080501
LUCKY TICKET LLC,STARBUDS,402R-00446,"1451 Cortez Street, Unit A",Denver,80221,"1451 Cortez Street, Unit A Denver CO 80221",39.830875,-105.004751,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1451%20Cortez%20Street,%20Unit%20A%20Denver%20CO%2080221"
LUW HOLDINGS LLC,THE HONEY CELLAR,402R-00199,"5290 Arapahoe Avenue, Suite J",Boulder,80303,"5290 Arapahoe Avenue, Suite J Boulder CO 80303",40.014608,-105.229634,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5290%20Arapahoe%20Avenue,%20Suite%20J%20Boulder%20CO%2080303"
LYONS FINEST CONFIDENTIAL CARE LLC,TUMBLEWEED,402R-00464,4071 Ute Highway,Lyons,80540,4071 Ute Highway Lyons CO 80540,40.21757,-105.259096,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4071%20Ute%20Highway%20Lyons%20CO%2080540
M&M DISTRIBUTING LLC,,402R-00389,422 North Commercial Street,Trinidad,81082,422 North Commercial Street Trinidad CO 81082,37.17083,-104.50664,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=422%20North%20Commercial%20Street%20Trinidad%20CO%2081082
MADISON ENTERPRISES LLC,PINK HOUSE CHERRY,402R-00710,111 South Madison Street Suite 111,Denver,80239,111 South Madison Street Suite 111 Denver CO 80239,39.714353,-104.946164,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=111%20South%20Madison%20Street%20Suite%20111%20Denver%20CO%2080239
MAGGIES FARM LLC,,402R-00219,"74 North Component Drive, Suite 170",Pueblo West,81007,"74 North Component Drive, Suite 170 Pueblo West CO 81007",38.339117,-104.741182,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=74%20North%20Component%20Drive,%20Suite%20170%20Pueblo%20West%20CO%2081007"
MAGGIES FARM LLC,,402R-00229,141 Manitou Avenue,Manitou Springs,80829,141 Manitou Avenue Manitou Springs CO 80829,38.858406,-104.895111,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=141%20Manitou%20Avenue%20Manitou%20Springs%20CO%2080829
MAGNA MARKETING INC,HERBS 4 YOU,402R-00076,20 East 9th Avenue,Denver,80203,20 East 9th Avenue Denver CO 80203,39.730458,-104.986515,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=20%20East%209th%20Avenue%20Denver%20CO%2080203
MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS CO,402R-00327,1750 30th Street Unit 84A,Boulder,80301,1750 30th Street Unit 84A Boulder CO 80301,40.017242,-105.253606,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1750%2030th%20Street%20Unit%2084A%20Boulder%20CO%2080301
MAGNOLIA ROAD INC,MAGNOLIA ROAD CANNABIS COMPANY,402R-00569,413 North Commercial Street,Trinidad,81082,413 North Commercial Street Trinidad CO 81082,37.1706,-104.50665,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=413%20North%20Commercial%20Street%20Trinidad%20CO%2081082
MAIN STREET CANNABIS,MAIN STREET CANNABIS,402R-00523,401 West Main Street,Trinidad,81082,401 West Main Street Trinidad CO 81082,37.16763,-104.50766,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=401%20West%20Main%20Street%20Trinidad%20CO%2081082
MARISOL THERAPEUTICS LLC,,402R-00063,922 East Kimble Drive,Pueblo West,81007,922 East Kimble Drive Pueblo West CO 81007,38.323707,-104.704545,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=922%20East%20Kimble%20Drive%20Pueblo%20West%20CO%2081007
MARTINS NATURAL MEDICINALS LLC,,402R-00462,"216 6th Street, Suite A",Glenwood Springs,81601,"216 6th Street, Suite A Glenwood Springs CO 81601",39.550197,-107.325295,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=216%206th%20Street,%20Suite%20A%20Glenwood%20Springs%20CO%2081601"
MAYFLOWER GROUP LLC,THE HEALTH CENTER,402R-00017,1736 Downing Street,Denver,80218,1736 Downing Street Denver CO 80218,39.744015,-104.973412,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1736%20Downing%20Street%20Denver%20CO%2080218
MEDICAL MJ SUPPLY LLC,BESTCOLORADOMEDS.ORG,402R-00154,4800 Lamar Street,Wheat Ridge,80033,4800 Lamar Street Wheat Ridge CO 80033,39.784192,-105.067164,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4800%20Lamar%20Street%20Wheat%20Ridge%20CO%2080033
MEDICINAL WELLNESS CENTER LLC,OASIS CANNABIS SUPERSTORE,402R-00098,5440 West 44th Avenue,Mountain View,80212,5440 West 44th Avenue Mountain View CO 80212,39.776574,-105.056073,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5440%20West%2044th%20Avenue%20Mountain%20View%20CO%2080212
MEDICINAL WELLNESS CENTER LLC,OASIS CANNABIS SUPERSTORE,402R-00099,6359 East Evans Avenue,Denver,80222,6359 East Evans Avenue Denver CO 80222,39.67845,-104.914613,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=6359%20East%20Evans%20Avenue%20Denver%20CO%2080222
MEDICINE MAN LONGMONT LLC,MEDICINE MAN LONGMONT,402R-00724,500 East Rogers Road,Longmont,80501,500 East Rogers Road Longmont CO 80501,40.16106,-105.081219,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=500%20East%20Rogers%20Road%20Longmont%20CO%2080501
MESA GREENS LLC,DOCTORS ORDERS,402R-00524,749 East Enterprise Drive,Pueblo West,81007,749 East Enterprise Drive Pueblo West CO 81007,38.327199,-104.711896,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=749%20East%20Enterprise%20Drive%20Pueblo%20West%20CO%2081007
MESA GREENS LLC,DOCTORS ORDERS,402R-00525,3321 South I-25,Pueblo,81004,3321 South I-25 Pueblo CO 81004,38.071244,-104.71088,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3321%20South%20I-25%20Pueblo%20CO%2081004
MESA ORGANICS LTD,MESA ORGANICS,402R-00514,30899 Highway 50 East,Pueblo,81006,30899 Highway 50 East Pueblo CO 81006,38.244847,-104.497845,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=30899%20Highway%2050%20East%20Pueblo%20CO%2081006
METRO CANNABIS INC,SILVER STEM FINE CANNABIS,402R-00102,8151 East Colfax Avenue,Denver,80220,8151 East Colfax Avenue Denver CO 80220,39.7402,-104.893285,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=8151%20East%20Colfax%20Avenue%20Denver%20CO%2080220
MHFS LLC,GOOD CHEMISTRY,402R-00733,"2563 15th Street, Suite 103",Denver,80211,"2563 15th Street, Suite 103 Denver CO 80211",39.758135,-105.011484,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2563%2015th%20Street,%20Suite%20103%20Denver%20CO%2080211"
MILE HIGH DISPENSARY LLC,,402R-00419,"1350 South Sheridan Boulevard, Unit 1&2",Denver,80232,"1350 South Sheridan Boulevard, Unit 1&2 Denver CO 80232",39.69211,-105.0528,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1350%20South%20Sheridan%20Boulevard,%20Unit%201&2%20Denver%20CO%2080232"
MILE HIGH GREEN CROSS LLC,,402R-00449,852 North Broadway,Denver,80203,852 North Broadway Denver CO 80203,39.729837,-104.987406,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=852%20North%20Broadway%20Denver%20CO%2080203
MILE HIGH MEDICAL CANNABIS LLC,DAMIAN MARLEY'S STONY HILL BY TRU CANNABIS,402R-00045,1630 Federal Boulevard,Denver,80204,1630 Federal Boulevard Denver CO 80204,39.743091,-105.025239,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1630%20Federal%20Boulevard%20Denver%20CO%2080204
MILE HIGH MEDICAL LLC,MMJ AMERICA UPTOWN,402R-00019,2042 Arapahoe Street,Denver,80205,2042 Arapahoe Street Denver CO 80205,39.752239,-104.990015,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2042%20Arapahoe%20Street%20Denver%20CO%2080205
MILE HIGH THERAPEUTIC NETWORK LLC,ALTITUDE WEST,402R-00011,1568 South Federal Boulevard,Denver,80219,1568 South Federal Boulevard Denver CO 80219,39.688338,-105.025066,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1568%20South%20Federal%20Boulevard%20Denver%20CO%2080219
MILE HIGH WELLNESS II LLC,MILE HIGH WELLNESS GREEN STREET,402R-00445,2291 South Kalamath Street,Denver,80223,2291 South Kalamath Street Denver CO 80223,39.675159,-105.000639,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2291%20South%20Kalamath%20Street%20Denver%20CO%2080223
MISSKAT INC,FROSTY LEAF,402R-00521,"500 West Highway 50, Suite 102",Gunnison,81230,"500 West Highway 50, Suite 102 Gunnison CO 81230",38.539269,-106.94022,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=500%20West%20Highway%2050,%20Suite%20102%20Gunnison%20CO%2081230"
MJLQ LLC,WHOLE MEDS,402R-00495,3450 Brighton Boulevard,Denver,80216,3450 Brighton Boulevard Denver CO 80216,39.770206,-104.979011,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3450%20Brighton%20Boulevard%20Denver%20CO%2080216
MJM HOLDINGS LIMITED,STICKY FINGERZ,402R-00656,3954 Williams Street,Denver,80205,3954 Williams Street Denver CO 80205,39.772358,-104.965911,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3954%20Williams%20Street%20Denver%20CO%2080205
MMJ AMERICA INC,BOULDER MMJ,402R-00338,1909 Broadway LL,Boulder,80302,1909 Broadway LL Boulder CO 80302,40.017138,-105.279721,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1909%20Broadway%20LL%20Boulder%20CO%2080302
MMJ SHERIDAN LLC,MMJ AMERICA SHERIDAN,402R-00592,5201 West 48th Avenue,Denver,80212,5201 West 48th Avenue Denver CO 80212,39.783824,-105.053621,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5201%20West%2048th%20Avenue%20Denver%20CO%2080212
MODERN MEDICINE LLC,ALTITUDE ORGANIC CANNABIS,402R-00394,817 Little Beaver Trail,Dillon,80435,817 Little Beaver Trail Dillon CO 80435,39.629827,-106.060676,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=817%20Little%20Beaver%20Trail%20Dillon%20CO%2080435
MONTEM PHARMLABS LIMITED,NORTHERN STANDARD,402R-00580,513 Main Street,Alma,80420,513 Main Street Alma CO 80420,39.282128,-106.061372,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=513%20Main%20Street%20Alma%20CO%2080420
